case_id,province,city,group,infection_case,confirmed,latitude,longitude
1,Seoul,Guro-gu,TRUE,Guro-gu Call Center,70,37.508163,126.884387
2,Seoul,Eunpyeong-gu,TRUE,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165
3,Seoul,Seongdong-gu,TRUE,Seongdong-gu APT,13,37.55713,127.0403
4,Seoul,Jongno-gu,TRUE,Jongno Community Center,10,37.57681,127.006
5,Seoul,Dongdaemun-gu,TRUE,Dongan Church,9,37.592888,127.056766
6,Seoul,Jung-gu,TRUE,Jung-gu Fashion Company,7,37.562405,126.984377
7,Seoul,from other city,TRUE,Shincheonji Church,6,-,-
8,Seoul,-,FALSE,etc,46,-,-
9,Busan,Dongnae-gu,TRUE,Onchun Church,34,35.21628,129.0771
10,Busan,from other city,TRUE,Shincheonji Church,10,-,-
11,Busan,Suyeong-gu,TRUE,Suyeong-gu Kindergarten,6,35.16708,129.1124
12,Busan,Haeundae-gu,TRUE,Haeundae-gu Catholic Church,6,35.20599,129.1256
13,Busan,Jin-gu,TRUE,Jin-gu Academy,4,35.17371,129.0633
14,Busan,from other city,TRUE,Cheongdo Daenam Hospital,1,-,-
15,Busan,-,FALSE,etc,29,-,-
16,Daegu,Nam-gu,TRUE,Shincheonji Church,4126,35.84008,128.5667
17,Daegu,-,FALSE,contact with patient,680,-,-
18,Daegu,from other city,TRUE,Cheongdo Daenam Hospital,2,-,-
19,Daegu,-,FALSE,etc,1059,-,-
20,Incheon,from other city,TRUE,Guro-gu Call Center,15,-,-
21,Incheon,-,FALSE,contact with patient,4,-,-
22,Incheon,from other city,TRUE,Shincheonji Church,2,-,-
23,Incheon,-,FALSE,overseas inflow,1,-,-
24,Incheon,-,FALSE,etc,3,-,-
25,Gwangju,from other city,TRUE,Shincheonji Church,9,-,-
26,Gwangju,-,FALSE,overseas inflow,1,-,-
27,Gwangju,-,FALSE,etc,5,-,-
28,Daejeon,-,FALSE,contact with patient,8,-,-
29,Daejeon,-,FALSE,overseas inflow,2,-,-
30,Daejeon,-,FALSE,etc,10,-,-
31,Ulsan,from other city,TRUE,Shincheonji Church,16,-,-
32,Ulsan,-,FALSE,contact with patient,3,-,-
33,Ulsan,-,FALSE,etc,6,-,-
34,Sejong,Boram-dong,TRUE,gym,8,36.48025,127.289
35,Sejong,Eojin-dong,TRUE,Ministry of Oceans and Fisheries,5,36.504713,127.265172
36,Sejong,from other city,TRUE,Shincheonji Church,1,-,-
37,Sejong,-,FALSE,etc,5,-,-
38,Gyeonggi-do,from other city,TRUE,Shincheonji Church,27,-,-
39,Gyeonggi-do,Seongnam-si,TRUE,Bundang Jesaeng Hospital,16,37.38833,127.1218
40,Gyeonggi-do,from other city,TRUE,Guro-gu Call Center,14,-,-
41,Gyeonggi-do,Suwon-si,TRUE,Suwon Saeng Myeong Saem Church,10,37.2376,127.0517
42,Gyeonggi-do,-,FALSE,overseas inflow,6,-,-
43,Gyeonggi-do,-,FALSE,etc,40,-,-
44,Gangwon-do,from other city,TRUE,Shincheonji Church,16,-,-
45,Gangwon-do,-,FALSE,contact with patient,3,-,-
46,Gangwon-do,-,FALSE,etc,10,-,-
47,Chungcheongbuk-do,from other city,TRUE,Shincheonji Church,10,-,-
48,Chungcheongbuk-do,Goesan-gun,TRUE,Goesan-gun Jangyeon-myeon,11,36.82422,127.9552
49,Chungcheongbuk-do,-,FALSE,contact with patient,4,-,-
50,Chungcheongbuk-do,-,FALSE,etc,2,-,-
51,Chungcheongnam-do,Cheonan-si,TRUE,gym,105,36.81503,127.1139
52,Chungcheongnam-do,Seosan-si,TRUE,Seosan-si Laboratory,8,37.000354,126.354443
53,Chungcheongnam-do,-,FALSE,etc,1,-,-
54,Jeollabuk-do,-,FALSE,contact with patient,2,-,-
55,Jeollabuk-do,from other city,TRUE,Shincheonji Church,1,-,-
56,Jeollabuk-do,-,FALSE,overseas inflow,1,-,-
57,Jeollabuk-do,-,FALSE,etc,3,-,-
58,Jeollanam-do,from other city,TRUE,Shincheonji Church,1,-,-
59,Jeollanam-do,-,FALSE,overseas inflow,1,-,-
60,Jeollanam-do,-,FALSE,contact with patient,1,-,-
61,Jeollanam-do,-,FALSE,etc,1,-,-
62,Gyeongsangbuk-do,from other city,TRUE,Shincheonji Church,503,-,-
63,Gyeongsangbuk-do,Cheongdo-gun,TRUE,Cheongdo Daenam Hospital,119,35.64887,128.7368
64,Gyeongsangbuk-do,Bonghwa-gun,TRUE,Bonghwa Pureun Nursing Home,56,36.92757,128.9099
65,Gyeongsangbuk-do,from other city,TRUE,Pilgrimage to Israel,49,-,-
66,Gyeongsangbuk-do,Chilgok-gun,TRUE,Milal Shelter,25,36.0581,128.4941
67,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Seorin Nursing Home,21,35.782149,128.801498
68,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Jeil Silver Town,17,35.84819,128.7621
69,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Cham Joeun Community Center,15,35.82558,128.7373
70,Gyeongsangbuk-do,-,FALSE,etc,320,-,-
71,Gyeongsangnam-do,from other city,TRUE,Shincheonji Church,29,-,-
72,Gyeongsangnam-do,Geochang-gun,TRUE,Geochang Church,10,35.68556,127.9127
73,Gyeongsangnam-do,Geochang-gun,TRUE,Geochang-gun Woongyang-myeon,8,35.805681,127.917805
74,Gyeongsangnam-do,Changwon-si,TRUE,Hanmaeum Changwon Hospital,7,35.22115,128.6866
75,Gyeongsangnam-do,Changnyeong-gun,TRUE,Changnyeong Coin Karaoke,7,35.54127,128.5008
76,Gyeongsangnam-do,from other city,TRUE,Onchun Church,2,-,-
77,Gyeongsangnam-do,-,FALSE,etc,22,-,-
78,Jeju-do,-,FALSE,etc,4,-,-