location,age_lower,age_upper,n
Lombardia,0,10,40
Lombardia,10,20,64
Lombardia,20,30,305
Lombardia,30,40,582
Lombardia,40,50,1057
Lombardia,50,60,1760
Lombardia,60,70,1800
Lombardia,70,80,2260
Lombardia,80,90,1664
Lombardia,90,120,265
Piemonte,0,10,3
Piemonte,10,20,1
Piemonte,20,30,15
Piemonte,30,40,17
Piemonte,40,50,43
Piemonte,50,60,54
Piemonte,60,70,62
Piemonte,70,80,92
Piemonte,80,90,59
Piemonte,90,120,14
Trento,0,10,1
Trento,10,20,1
Trento,20,30,3
Trento,30,40,6
Trento,40,50,12
Trento,50,60,19
Trento,60,70,22
Trento,70,80,19
Trento,80,90,18
Trento,90,120,5
Veneto,0,10,12
Veneto,10,20,19
Veneto,20,30,110
Veneto,30,40,125
Veneto,40,50,195
Veneto,50,60,345
Veneto,60,70,229
Veneto,70,80,226
Veneto,80,90,213
Veneto,90,120,70
Friuli Venezia Giulia,0,10,0
Friuli Venezia Giulia,10,20,3
Friuli Venezia Giulia,20,30,10
Friuli Venezia Giulia,30,40,5
Friuli Venezia Giulia,40,50,18
Friuli Venezia Giulia,50,60,30
Friuli Venezia Giulia,60,70,14
Friuli Venezia Giulia,70,80,15
Friuli Venezia Giulia,80,90,31
Friuli Venezia Giulia,90,120,9
Liguria,0,10,2
Liguria,10,20,0
Liguria,20,30,11
Liguria,30,40,18
Liguria,40,50,31
Liguria,50,60,63
Liguria,60,70,55
Liguria,70,80,92
Liguria,80,90,54
Liguria,90,120,10
Emilia-Romagna,0,10,6
Emilia-Romagna,10,20,11
Emilia-Romagna,20,30,57
Emilia-Romagna,30,40,109
Emilia-Romagna,40,50,217
Emilia-Romagna,50,60,318
Emilia-Romagna,60,70,274
Emilia-Romagna,70,80,331
Emilia-Romagna,80,90,250
Emilia-Romagna,90,120,44
Toscana,0,10,4
Toscana,10,20,7
Toscana,20,30,18
Toscana,30,40,17
Toscana,40,50,47
Toscana,50,60,57
Toscana,60,70,64
Toscana,70,80,52
Toscana,80,90,24
Toscana,90,120,5
Marche,0,10,1
Marche,10,20,6
Marche,20,30,16
Marche,30,40,33
Marche,40,50,77
Marche,50,60,131
Marche,60,70,131
Marche,70,80,153
Marche,80,90,135
Marche,90,120,24
Lazio,0,10,1
Lazio,10,20,8
Lazio,20,30,7
Lazio,30,40,23
Lazio,40,50,17
Lazio,50,60,40
Lazio,60,70,46
Lazio,70,80,24
Lazio,80,90,16
Lazio,90,120,3
Campania,0,10,3
Campania,10,20,5
Campania,20,30,23
Campania,30,40,28
Campania,40,50,39
Campania,50,60,51
Campania,60,70,31
Campania,70,80,16
Campania,80,90,6
Campania,90,120,1
Puglia,0,10,1
Puglia,10,20,1
Puglia,20,30,5
Puglia,30,40,7
Puglia,40,50,23
Puglia,50,60,26
Puglia,60,70,25
Puglia,70,80,22
Puglia,80,90,11
Puglia,90,120,3